rowLabels;AT_P3_S14;BE_P3_S14;BG_P3_S14;CY_P3_S14;DE_P3_S14;DK_P3_S14;EE_P3_S14;ES_P3_S14;FR_P3_S14;GR_P3_S14;HR_P3_S14;HU_P3_S14;LT_P3_S14;LU_P3_S14;LV_P3_S14;MT_P3_S14;NL_P3_S14;PL_P3_S14;RO_P3_S14;SI_P3_S14;SK_P3_S14
AR_C33;0;3,89873E-08;4,05913E-09;0;2,50998E-09;6,35792E-08;0;1,73688E-07;1,96349E-08;7,24597E-10;0;0;0;0;0;0;1,0228E-07;2,10926E-09;1,21603E-10;0;0
AR_D35;0;0;0;0;1,93909E-09;0;0;0;0;8,32313E-08;0;0;0;0;0;0;6,22114E-09;0;0;0;0
AR_E36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AR_E37T39;3,01831E-08;3,75301E-07;3,33572E-08;0;5,08786E-08;1,68321E-08;0;5,27193E-06;9,18509E-08;7,9222E-08;0;0;0;0;0;0;5,14594E-06;1,20647E-08;0;0;5,69443E-08
AR_F;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AR_G45;0;0;0;7,72391E-07;2,27165E-05;2,48574E-05;0;8,00659E-07;7,84702E-08;2,25994E-05;0;0;0;0;0;1,10459E-06;2,58254E-06;0;4,11825E-08;1,84436E-07;0
AR_G46;0;0;0;0;0;3,42648E-09;0;0;0;0;0;0;0;0;0;5,49485E-10;0;0;0;0;0
AR_G47;0;0;0;0;0;7,27734E-09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,536E-09
AR_H49;1,84196E-05;1,15383E-06;6,68542E-07;0;2,80227E-06;6,91594E-07;4,21686E-06;4,82596E-07;1,50588E-06;2,81064E-05;6,63369E-07;2,25555E-06;8,87556E-06;0;0;0;3,54629E-05;9,2846E-07;4,79466E-06;4,29134E-05;1,97293E-05
AR_H50;8,47611E-08;5,90824E-09;2,11742E-09;0;1,14902E-08;9,91707E-07;1,21242E-07;2,04872E-06;5,9642E-08;0;6,10576E-08;5,29274E-08;7,07517E-07;1,424E-08;1,54106E-07;1,19425E-06;0;5,34364E-08;0;5,00277E-06;1,10215E-07
AR_H51;2,56577E-05;2,49224E-06;0,000117337;0,00040125;5,82748E-05;4,2379E-06;2,5453E-06;3,07262E-05;3,40283E-05;0,000179805;4,23234E-06;8,1296E-07;4,61133E-05;0;0;0;5,52966E-05;9,25368E-06;7,43112E-06;3,18863E-05;1,26702E-05
AR_H52;8,17826E-08;1,372E-09;1,12192E-07;0;2,18076E-07;4,51764E-08;0;1,46575E-09;9,83426E-07;1,77068E-05;0;0;3,0545E-08;0;0;0;3,53601E-08;5,42414E-10;7,21315E-11;9,53466E-08;1,30876E-08
AR_H53;0;0;0;0;4,17181E-08;0;0;2,48178E-09;0;0;0;0;0;0;0;0;0;0;0;0;0
AR_I;1,50517E-08;1,04782E-08;1,18602E-06;1,55037E-07;2,86654E-08;8,57441E-08;0;1,52486E-07;7,56987E-08;5,01779E-07;0;0;1,508E-08;1,47772E-06;0;0;8,1827E-08;1,49151E-07;2,98711E-07;0;1,61401E-08
AR_J58;4,39986E-08;0;0;0;1,05492E-07;9,76603E-08;0;1,26077E-07;2,28288E-08;2,17019E-08;0;3,60201E-08;0;0;0;1,36937E-08;4,1601E-08;4,12664E-09;0;0;0
AR_J59_60;0;0;0;0;1,12976E-08;0;0;1,05038E-09;8,89591E-10;0;0;0;0;0;0;0;1,38701E-09;0;0;0;0
AR_J61;2,56451E-08;0;0;0;8,2869E-07;0;0;0;1,54246E-07;0;0;0;0;0;0;0;0;0;2,73671E-09;0;0
AR_J62_63;4,90174E-08;0;0;0;1,79679E-08;4,12314E-08;0;0;4,47467E-07;0;0;0;0;0;0;0;0;0;1,90493E-07;0;0
AR_K64;5,51712E-09;1,75311E-08;0;0;6,58768E-08;3,72783E-09;0;3,049E-08;0;0;0;0;0;4,19561E-08;0;0;7,61566E-08;0;0;0;0
AR_K65;0;2,07208E-07;0;0;0;2,03057E-07;2,78849E-07;0;1,25256E-06;5,84812E-06;2,80538E-07;1,11717E-07;1,34313E-06;0;0;0;6,27596E-07;1,06825E-05;0;3,10087E-06;2,35906E-06
AR_K66;0;0;0;0;3,39934E-09;6,15419E-08;0;0;0;0;0;0;0;0;0;0;0;3,08914E-08;0;0;0
AR_L;0;0;0;0;0;2,1049E-06;0;2,78552E-06;2,23869E-08;2,82628E-07;0;3,12401E-08;5,67045E-08;0;0;1,61256E-07;0;0;1,37313E-08;0;0
AR_M69_70;0;0;9,40377E-07;0;4,86666E-08;8,61406E-08;0;1,80202E-06;2,73249E-06;0;0;1,25803E-08;0;0;0;0;0;3,2002E-09;0;0;0
AR_M71;0;0;0;0;2,39209E-07;0;0;0;2,0956E-07;1,08985E-08;0;0;0;4,52106E-07;0;0;0;0;1,98301E-09;0;0
AR_M72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AR_M73;0;0;4,02612E-08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,79224E-09;0;0
AR_M74_75;0;6,60828E-09;0;0;2,09788E-07;1,73271E-07;0;0;1,30205E-06;1,65339E-08;0;0;6,02242E-08;0;0;0;0;5,38238E-08;0;0;0
AR_N77;0;0;0;0;1,67131E-07;4,33317E-07;0;0;5,46319E-09;0;0;3,18475E-07;0;0;0;0;0;0;1,73663E-08;0;0
AR_N78;0;0;0;0;2,71939E-10;0;0;0;1,07529E-09;0;0;0;0;0;0;0;0;0;0;0;0
AR_N79;0;0;0;0;0;0;0;1,81407E-08;9,49159E-08;9,43016E-06;0;0;0;0;0;0;8,46427E-06;0;0;0;0
AR_N80T82;0;0;0;0;9,37327E-08;0;0;1,58943E-07;0;8,81258E-09;0;0;0;0;0;0;0;4,67655E-08;0;0;0
AR_O84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AR_P85;2,10869E-08;0;0;0;1,86749E-07;7,85609E-08;0;0;4,8384E-09;0;0;0;0;0;0;0;0;0;0;0;0
AR_Q86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,80042E-08;0;0;0
AR_Q87_88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AR_R90T92;0;7,35581E-07;0;0;3,51404E-07;1,75261E-08;0;2,51602E-07;2,51771E-06;0;0;0;0;0;0;0;9,3896E-08;2,3307E-09;0;0;0
AR_R93;0;0;0;0;0;0;0;0;4,56425E-09;0;0;0;0;0;0;0;0;0;0;0;0
AR_S94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AR_S95;0;0;0;0;5,25171E-09;0;0;0;0;1,55738E-08;0;0;0;0;0;0;0;0;0;0;0
AR_S96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,10089E-08
AR_T;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AR_U;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AT_A01;0,010021902;4,52171E-05;0,000152427;0,000177804;0,000139374;2,57918E-05;8,78473E-05;1,25323E-05;2,58876E-05;3,61242E-05;0,000268816;0,000390097;0,000110894;1,56878E-05;0,000235687;3,33446E-05;2,85623E-05;0,000125199;0,000179277;0,000817869;0,000369873
AT_A02;0,003754733;1,7294E-06;4,44486E-06;5,31499E-08;2,4413E-06;6,70857E-07;0;3,82792E-07;1,65399E-07;5,04816E-06;1,16227E-05;4,75779E-07;3,90664E-08;6,49774E-08;8,69043E-07;2,45305E-07;5,75099E-08;3,32245E-06;1,15553E-06;1,27154E-05;3,12517E-06
AT_A03;0,000332752;5,38207E-07;1,44339E-06;0;2,44372E-07;1,93266E-08;0;1,36916E-08;6,97942E-07;1,8419E-08;6,83318E-07;1,60529E-06;4,67569E-08;1,16128E-06;0;0;1,54539E-07;7,54374E-08;1,34762E-07;1,11337E-06;1,70561E-06
AT_B;0,000498083;8,52247E-06;5,63076E-05;1,2948E-06;7,59495E-05;4,41874E-06;1,50414E-06;1,66151E-07;7,42314E-08;0;0,000120283;0,002417609;9,51649E-06;3,49214E-07;4,13025E-06;1,1545E-06;1,97253E-05;1,36422E-05;3,53582E-05;4,94114E-06;6,02322E-05
AT_C10T12;0,046213557;0,000824655;0,002668291;0,000433801;0,001672836;0,000331129;0,001922486;0,000241303;0,000264911;0,001133092;0,005790124;0,007343569;0,002790812;0,000140674;0,000917032;0,00077315;0,000517183;0,001252391;0,003304535;0,006412744;0,006986822
AT_C13T15;0,000715705;0,000148258;0,000129356;0,000281694;0,00027743;6,04697E-05;9,38747E-05;1,75322E-05;3,97899E-05;0,000106866;0,001467469;0,000709758;0,000142863;7,75165E-05;0,000196761;1,96393E-05;0,000124579;0,000194872;0,000156325;0,000954401;0,000277201
AT_C16;0,001591827;1,79156E-05;0,000108647;2,11533E-06;0,000127137;1,45001E-05;6,65659E-06;8,19663E-06;2,02183E-05;2,89646E-06;1,69963E-05;9,89057E-06;4,00439E-05;5,0518E-06;1,47011E-06;1,79663E-05;1,47414E-05;4,4847E-05;0,00014165;1,46766E-05;7,21825E-05
AT_C17;0,000891673;6,47047E-05;8,15869E-05;1,36123E-05;8,51982E-05;3,60512E-05;2,32823E-05;6,46142E-06;3,65755E-05;4,93481E-05;0,000202688;0,000243019;4,45244E-05;1,95722E-05;2,76729E-05;0,000173443;4,7393E-05;3,70128E-05;0,000220345;0,00039294;0,000141968
AT_C18;0;1,15359E-06;3,48669E-06;4,60079E-06;4,87433E-06;5,98562E-09;6,02195E-07;3,64716E-09;0;1,02713E-06;2,85678E-06;5,05543E-06;0;6,4918E-09;1,77689E-06;1,09613E-05;7,00049E-08;4,25038E-06;7,35619E-06;0;4,68703E-05
AT_C19;0,02121151;1,9329E-05;0,000232873;1,16677E-05;0,000127935;2,0885E-05;3,4131E-05;9,57804E-06;1,74972E-05;0,000112817;0,000765703;0,005191132;2,88752E-05;0,000107463;0,000107208;1,02225E-05;1,62523E-05;4,518E-05;9,6841E-05;0,010697668;0,004533776
AT_C20;0,006067562;9,54681E-05;0,000210403;7,43713E-05;0,000171554;9,54893E-05;0,000177153;9,55838E-05;0,000137586;8,44833E-05;0,000769394;0,000426251;8,82686E-05;0,000125571;0,000339788;0,000195326;0,000144745;0,000234132;0,000430481;0,000945776;0,001263196
AT_C21;0,000614969;5,9711E-06;0,00032975;1,10157E-05;1,1388E-05;2,2882E-05;9,76195E-05;1,03373E-05;1,53572E-05;1,71725E-05;5,87681E-05;8,0159E-05;0,000198565;8,57013E-06;0,000191159;1,54621E-05;6,91451E-06;9,52714E-05;0,000117639;4,74217E-05;5,22883E-05
AT_C22;0,000981695;2,85094E-05;7,02076E-05;2,9674E-05;0,000118961;2,87203E-05;2,81197E-05;5,05814E-06;4,70072E-05;4,54879E-06;6,49219E-05;6,42507E-05;6,26074E-05;1,15296E-05;2,32646E-05;8,22514E-05;2,60328E-05;3,24466E-05;0,000160841;4,12649E-05;7,02538E-05
AT_C23;0,001878979;1,78483E-05;4,46866E-05;4,67663E-06;2,50573E-05;9,85754E-06;1,09516E-05;1,91982E-06;1,18959E-05;3,54178E-06;6,22133E-05;5,9126E-05;5,49698E-05;1,49332E-05;1,0444E-05;8,21086E-06;1,29211E-05;3,19495E-05;7,47462E-05;3,6032E-05;8,15397E-05
AT_C24;1,64037E-05;2,79274E-06;3,2519E-07;8,7911E-07;0;9,23787E-07;0;2,31437E-08;6,35582E-07;3,37233E-09;6,66285E-07;0;0;3,10015E-09;5,57185E-07;1,10269E-06;0;1,76419E-06;1,30592E-06;3,94306E-07;4,35848E-07
