rowLabels;AT_P3_S14;BE_P3_S14;BG_P3_S14;CY_P3_S14;DE_P3_S14;DK_P3_S14;EE_P3_S14;ES_P3_S14;FR_P3_S14;GR_P3_S14;HR_P3_S14;HU_P3_S14;LT_P3_S14;LU_P3_S14;LV_P3_S14;MT_P3_S14;NL_P3_S14;PL_P3_S14;RO_P3_S14;SI_P3_S14;SK_P3_S14
AR_A01;6,71172E-06;4,66167E-06;4,60525E-05;6,95684E-05;9,83482E-06;9,40102E-06;1,78598E-05;4,54019E-05;8,45906E-06;4,01356E-05;6,23236E-06;2,09847E-06;2,212E-05;4,18237E-06;3,21096E-06;1,59369E-05;1,06166E-05;7,13839E-05;3,18905E-05;1,79855E-05;7,5555E-06
AR_A02;7,39777E-09;0;6,16671E-08;0;7,9071E-09;0;0;3,19128E-08;4,13988E-09;7,53839E-08;0;0;0;0;0;0;8,58585E-09;2,09979E-07;4,88401E-08;0;0
AR_A03;1,49377E-07;9,82931E-08;1,04157E-07;1,12807E-06;8,21135E-08;2,57663E-07;1,08389E-07;1,68071E-06;2,93212E-07;2,17102E-06;1,03552E-07;6,69254E-08;5,6677E-07;3,47949E-07;7,7055E-08;0;6,17903E-07;5,36047E-07;3,57101E-07;7,03199E-07;1,60946E-07
AR_B;0;0;4,97141E-06;0;2,99641E-05;0;0;0;0;0;0;0;0;0;0;0;4,33188E-05;0;7,87623E-07;0;0
AR_C10T12;7,50247E-05;5,42173E-05;0,000303132;0,002887774;0,000135842;0,000343739;0,000267102;0,001386624;0,000137902;0,001744249;0,000178338;6,25438E-05;0,001286851;7,967E-05;0,000136;0,000182486;0,000393569;0,001612831;0,000567848;0,000204057;0,000175758
AR_C13T15;4,58287E-05;3,62908E-07;1,06634E-08;5,14018E-08;4,09295E-06;2,40685E-07;6,29649E-08;1,02577E-06;5,90866E-07;3,18111E-08;0;3,82528E-09;8,74837E-07;2,6422E-07;1,91762E-08;0,00019119;1,91324E-07;2,24403E-06;1,79346E-06;0,000327628;4,4741E-05
AR_C16;5,05262E-09;6,81491E-09;0;0;2,30769E-09;0;0;1,56268E-08;5,14792E-09;1,67628E-09;0;0;0;0;0;0;1,69563E-08;1,69441E-08;0;0;0
AR_C17;3,52563E-07;3,31471E-09;0;0;1,94191E-08;4,7053E-08;0;1,78675E-08;2,60095E-08;4,32818E-09;0;0;0;9,26736E-08;0;8,2582E-07;3,23177E-08;2,80369E-08;4,33675E-08;1,90865E-06;1,6704E-07
AR_C18;0;5,90493E-09;0;0;9,34043E-09;2,32697E-11;0;1,15189E-09;0;2,75845E-09;0;6,19986E-09;0;0;0;1,42842E-08;4,55838E-09;6,78149E-09;1,05783E-08;0;9,72611E-08
AR_C19;1,92437E-08;2,26338E-07;0;0;5,24129E-07;3,00882E-08;0;1,29009E-06;6,8611E-07;2,4033E-06;0;0;0;6,49189E-07;0;0;2,86632E-06;2,97753E-08;3,50523E-06;0;5,14042E-08
