rowLabels;AT_P3_S14;BE_P3_S14;BG_P3_S14;CY_P3_S14;DE_P3_S14;DK_P3_S14;EE_P3_S14;ES_P3_S14;FR_P3_S14;GR_P3_S14;HR_P3_S14;HU_P3_S14;LT_P3_S14;LU_P3_S14;LV_P3_S14;MT_P3_S14;NL_P3_S14;PL_P3_S14;RO_P3_S14;SI_P3_S14;SK_P3_S14
AR_A01;6,86374E-06;4,93104E-06;4,14767E-05;6,27715E-05;9,93043E-06;1,06811E-05;1,43772E-05;4,56835E-05;8,70904E-06;4,15519E-05;5,78986E-06;2,09662E-06;1,96318E-05;3,94849E-06;3,20982E-06;1,61475E-05;1,10277E-05;7,57781E-05;2,9236E-05;1,74203E-05;7,99419E-06
AR_A02;7,57028E-09;0;5,88286E-08;0;8,03778E-09;0;0;3,21269E-08;4,13711E-09;7,71745E-08;0;0;0;0;0;0;8,29208E-09;2,04207E-07;4,49699E-08;0;0
AR_A03;1,50024E-07;1,01339E-07;9,36761E-08;1,0195E-06;8,58417E-08;2,83248E-07;8,81193E-08;1,68982E-06;3,12783E-07;2,23737E-06;9,60639E-08;6,66319E-08;5,06713E-07;3,62631E-07;8,22981E-08;0;6,4649E-07;5,6391E-07;3,27562E-07;6,73621E-07;1,69555E-07
AR_B;0;0;5,10372E-06;0;2,90452E-05;0;0;0;0;0;0;0;0;0;0;0;4,12961E-05;0;8,28094E-07;0;0
AR_C10T12;6,96031E-05;5,713E-05;0,000274882;0,002590053;0,000126963;0,000367324;0,000211169;0,001394556;0,000140022;0,001798385;0,000164512;6,14554E-05;0,001119179;6,55859E-05;0,000133143;0,000181946;0,000370391;0,001723704;0,00052935;0,000186421;0,000184396
AR_C13T15;4,94188E-05;4,0627E-07;1,32112E-08;6,67533E-08;4,96517E-06;2,39248E-07;6,34812E-08;1,238E-06;5,57244E-07;3,18301E-08;0;4,78193E-09;1,00652E-06;2,80984E-07;3,45265E-08;0,000200533;2,12681E-07;2,272E-06;2,37404E-06;0,000425485;5,72378E-05
AR_C16;4,78118E-09;7,15498E-09;0;0;2,25892E-09;0;0;1,49669E-08;5,18496E-09;1,64124E-09;0;0;0;0;0;0;1,75395E-08;1,65178E-08;0;0;0
AR_C17;3,71034E-07;3,27672E-09;0;0;2,20311E-08;4,76303E-08;0;1,9334E-08;2,69577E-08;4,28807E-09;0;0;0;9,4742E-08;0;8,79258E-07;3,3275E-08;2,72331E-08;4,70596E-08;2,08287E-06;1,89421E-07
AR_C18;0;5,76812E-09;0;0;1,15572E-08;2,59104E-11;0;1,31848E-09;0;2,7253E-09;0;6,93542E-09;0;0;0;1,54232E-08;4,94145E-09;6,66356E-09;1,14433E-08;0;9,36994E-08
AR_C19;2,18425E-08;2,29513E-07;0;0;5,41621E-07;3,39436E-08;0;1,77517E-06;7,12032E-07;2,51713E-06;0;0;0;8,72455E-07;0;0;3,23726E-06;2,89634E-08;4,25791E-06;0;5,11208E-08
AR_C20;1,02702E-06;3,19016E-06;2,58874E-07;6,56639E-07;3,48578E-07;2,65707E-07;4,80162E-07;5,36057E-05;1,97919E-06;6,50026E-07;2,06427E-08;9,30308E-09;4,85981E-08;9,05378E-08;1,53299E-07;1,74815E-06;0,000102997;3,06982E-07;2,34776E-06;1,48662E-06;7,2279E-07
AR_C21;8,86959E-07;2,77617E-07;5,67664E-07;2,15338E-06;3,91771E-06;1,42752E-05;1,61188E-07;8,3996E-06;4,26046E-06;6,28642E-07;1,32121E-08;4,76116E-08;3,38606E-06;2,0964E-06;8,45319E-08;3,92862E-05;6,21489E-06;2,44821E-06;1,40767E-06;1,81023E-08;6,76909E-08
AR_C22;3,12288E-06;1,04714E-07;1,23095E-08;0;2,57514E-07;4,17159E-08;0;8,23348E-07;2,2367E-07;1,08098E-08;0;4,71918E-09;1,94061E-07;6,47986E-08;0;8,55624E-06;1,8579E-06;2,27562E-07;2,57283E-06;7,69453E-06;2,37074E-06
AR_C23;0;1,87518E-07;0;0;2,2589E-08;4,1256E-08;0;8,96316E-08;2,76489E-08;5,13431E-08;0;0;0;0;0;0;2,19452E-07;6,58459E-09;0;0;0
AR_C24;2,73526E-10;1,33427E-09;0;0;0;1,23207E-09;0;7,77355E-10;1,55249E-09;5,98924E-12;0;0;0;0;0;0;0;1,04922E-08;0;0;3,54882E-10
AR_C25;8,11539E-08;3,35955E-09;8,63744E-09;0;2,05157E-08;4,50573E-08;0;4,93335E-08;8,94103E-08;1,53065E-08;0;0;0;0;0;2,90181E-07;1,30434E-07;7,87305E-08;6,53687E-08;1,10134E-07;4,60515E-08
AR_C26;1,96084E-07;2,45427E-08;8,72822E-09;0;2,43089E-07;9,74444E-07;0;9,96749E-08;1,11184E-06;8,14614E-08;0;1,62554E-07;0;5,481E-08;0;8,43437E-06;8,74148E-08;5,07408E-08;6,74685E-08;6,49108E-07;6,89716E-08
AR_C27;1,75835E-08;2,47107E-08;7,62232E-09;0;3,30413E-08;1,85647E-07;0;6,69384E-08;4,05339E-07;3,36491E-08;0;3,60176E-09;0;1,03292E-07;2,61784E-08;0;3,42087E-08;1,42179E-07;1,83882E-07;0;8,14986E-09
AR_C28;8,94233E-08;1,22601E-08;1,54342E-07;0;3,82983E-08;1,4996E-07;0;1,07063E-07;6,79782E-08;8,42984E-08;0;4,5258E-09;1,46822E-08;0;0;1,23351E-06;7,50523E-08;1,66149E-07;2,86297E-08;2,1344E-07;3,1778E-08
AR_C29;9,64741E-07;1,15284E-07;1,28461E-08;0;8,95801E-07;2,27398E-07;3,06454E-07;4,46123E-06;1,11521E-06;3,69261E-07;0;5,23883E-09;0;5,75538E-07;0;0;5,43646E-07;1,38871E-05;1,43514E-09;6,85964E-07;7,6016E-07
AR_C30;8,76214E-07;6,65712E-08;1,16486E-08;0;1,90089E-08;7,07828E-09;0;2,90961E-07;1,31145E-06;3,53889E-08;0;0;0;1,77817E-06;0;0;4,81967E-07;6,08833E-08;0;0;7,63973E-09
AR_C31_32;3,99026E-06;8,21365E-08;4,6417E-08;0;4,26831E-07;3,61684E-08;0;4,14989E-07;2,08675E-06;3,49195E-08;0;6,14939E-09;5,56613E-08;1,06254E-06;0;4,04584E-06;1,30531E-07;8,42192E-08;2,17E-07;4,99399E-06;1,54546E-06
AR_C33;0;3,1833E-08;3,09384E-09;0;2,04452E-09;4,78568E-08;0;1,77025E-07;1,52384E-08;4,15241E-10;0;0;0;0;0;0;8,03779E-08;1,85323E-09;1,08178E-10;0;0
AR_D35;0;0;0;0;2,39925E-09;0;0;0;0;9,58731E-08;0;0;0;0;0;0;8,08623E-09;0;0;0;0
AR_E36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
