rowLabels;AT_P3_S14;BE_P3_S14;BG_P3_S14;CY_P3_S14;DE_P3_S14;DK_P3_S14;EE_P3_S14;ES_P3_S14;FR_P3_S14;GR_P3_S14;HR_P3_S14;HU_P3_S14;LT_P3_S14;LU_P3_S14;LV_P3_S14;MT_P3_S14;NL_P3_S14;PL_P3_S14;RO_P3_S14;SI_P3_S14;SK_P3_S14
AR_A01;7,36206E-06;5,76449E-06;3,92069E-05;4,90107E-05;1,02948E-05;1,17443E-05;1,37723E-05;4,26345E-05;9,3536E-06;3,89044E-05;5,40921E-06;2,16079E-06;2,02013E-05;3,70421E-06;3,539E-06;1,30889E-05;1,29166E-05;8,22083E-05;2,80124E-05;1,69378E-05;8,07342E-06
AR_A02;8,4771E-09;0;5,49024E-08;0;7,96411E-09;0;0;3,00261E-08;4,41837E-09;7,14366E-08;0;0;0;0;0;0;8,70225E-09;1,79233E-07;4,30388E-08;0;0
AR_A03;1,54216E-07;1,09753E-07;8,84627E-08;7,87825E-07;8,95316E-08;3,14665E-07;8,4333E-08;1,57777E-06;3,332E-07;2,10357E-06;8,98411E-08;6,79693E-08;5,25556E-07;3,74278E-07;8,77332E-08;0;7,26285E-07;6,23767E-07;3,13942E-07;6,4316E-07;1,72138E-07
AR_B;0;0;4,65781E-06;0;2,7451E-05;0;0;0;0;0;0;0;0;0;0;0;3,86759E-05;0;7,92017E-07;0;0
AR_C10T12;6,72675E-05;6,16751E-05;0,000258282;0,001963288;0,000121292;0,000385661;0,0001975;0,00129682;0,000145564;0,001679752;0,000152601;6,21427E-05;0,001147673;5,78669E-05;0,000136462;0,000137681;0,000388294;0,001819648;0,00051514;0,000163188;0,000185348
AR_C13T15;6,4218E-05;6,03922E-07;2,4656E-08;9,2647E-08;5,81993E-06;2,7521E-07;7,32831E-08;1,4323E-06;6,32375E-07;4,05671E-08;0;7,37529E-09;1,04366E-06;2,85701E-07;5,55398E-08;0,00028678;2,79408E-07;3,82975E-06;3,88953E-06;0,000566833;6,59571E-05
AR_C16;4,49833E-09;7,58253E-09;0;0;2,21803E-09;0;0;1,47861E-08;5,09454E-09;1,63558E-09;0;0;0;0;0;0;1,76219E-08;1,48818E-08;0;0;0
AR_C17;4,11532E-07;4,0581E-09;0;0;2,37822E-08;4,9421E-08;0;1,90271E-08;2,92602E-08;5,13624E-09;0;0;0;9,72476E-08;0;1,10601E-06;3,84248E-08;3,2308E-08;4,75731E-08;2,34315E-06;2,2432E-07
AR_C18;0;5,97902E-09;0;0;1,31993E-08;3,60867E-11;0;1,45005E-09;0;3,54353E-09;0;8,76828E-09;0;0;0;1,88486E-08;5,56575E-09;9,22352E-09;1,24387E-08;0;9,40001E-08
AR_C19;2,38449E-08;2,51113E-07;0;0;5,77728E-07;4,00974E-08;0;1,99286E-06;7,97832E-07;2,78241E-06;0;0;0;8,55917E-07;0;0;3,66298E-06;2,66604E-08;5,92947E-06;0;4,89565E-08
AR_C20;1,09828E-06;3,6523E-06;2,92151E-07;6,78173E-07;3,78866E-07;2,95484E-07;5,37831E-07;5,45837E-05;2,14327E-06;7,57164E-07;2,67542E-08;1,10228E-08;4,90175E-08;9,41091E-08;2,11899E-07;2,0716E-06;0,000117943;3,39253E-07;2,32768E-06;1,76241E-06;9,1276E-07
AR_C21;1,00437E-06;2,47075E-07;4,03349E-07;2,18998E-06;4,85322E-06;1,63465E-05;1,29836E-07;9,13298E-06;4,85769E-06;7,08783E-07;1,45315E-08;4,17506E-08;2,74787E-06;1,81187E-06;6,89291E-08;3,47796E-05;7,71502E-06;2,24401E-06;1,30999E-06;2,05212E-08;6,4331E-08
AR_C22;3,45023E-06;1,32589E-07;1,55081E-08;0;2,96717E-07;4,80771E-08;0;8,85782E-07;2,53178E-07;1,36254E-08;0;6,36537E-09;1,93182E-07;6,52199E-08;0;1,00583E-05;2,2888E-06;2,69602E-07;2,53639E-06;1,01272E-05;2,87754E-06
AR_C23;0;2,08399E-07;0;0;2,27016E-08;3,97369E-08;0;8,97249E-08;2,78169E-08;5,40548E-08;0;0;0;0;0;0;2,28089E-07;6,17383E-09;0;0;0
AR_C24;3,39491E-10;1,67803E-09;0;0;0;1,56968E-09;0;8,40699E-10;1,91742E-09;6,39669E-12;0;0;0;0;0;0;0;1,33254E-08;0;0;3,507E-10
AR_C25;9,49477E-08;4,06334E-09;1,16079E-08;0;2,39946E-08;5,41718E-08;0;5,40201E-08;1,02457E-07;1,82698E-08;0;0;0;0;0;3,40842E-07;1,6024E-07;9,13595E-08;6,97566E-08;1,34302E-07;5,71858E-08
AR_C26;2,44264E-07;3,31844E-08;1,46972E-08;0;2,82454E-07;1,14505E-06;0;1,11907E-07;1,31714E-06;1,19807E-07;0;2,54694E-07;0;5,72203E-08;0;1,18102E-05;1,14168E-07;7,5861E-08;1,00725E-07;8,82003E-07;8,60859E-08
AR_C27;2,14412E-08;3,11951E-08;1,22148E-08;0;4,12044E-08;2,43181E-07;0;7,33006E-08;4,83445E-07;4,10938E-08;0;4,76362E-09;0;1,04353E-07;4,53976E-08;0;4,44032E-08;1,96421E-07;2,7385E-07;0;1,03721E-08
AR_C28;1,10082E-07;1,66645E-08;2,90394E-07;0;4,81715E-08;2,03499E-07;0;1,19156E-07;8,38299E-08;1,12794E-07;0;6,85328E-09;1,65934E-08;0;0;1,46226E-06;1,02472E-07;2,48101E-07;4,7909E-08;2,93052E-07;3,87129E-08
AR_C29;1,1838E-06;1,75455E-07;3,13114E-08;0;1,20599E-06;3,53254E-07;3,87447E-07;5,06311E-06;1,43121E-06;5,83889E-07;0;9,61599E-09;0;5,66263E-07;0;0;8,05699E-07;2,21515E-05;3,6106E-09;1,04956E-06;9,06168E-07
AR_C30;1,07247E-06;9,68519E-08;2,15234E-08;0;2,53922E-08;1,08828E-08;0;3,29872E-07;1,66462E-06;5,57494E-08;0;0;0;1,75004E-06;0;0;7,08019E-07;8,90704E-08;0;0;9,05901E-09
AR_C31_32;4,64421E-06;9,25591E-08;4,64166E-08;0;4,97628E-07;4,31132E-08;0;4,56861E-07;2,34033E-06;4,51207E-08;0;7,20881E-09;5,73583E-08;1,1219E-06;0;4,61359E-06;1,57728E-07;9,66053E-08;2,1688E-07;5,95963E-06;2,0627E-06
AR_C33;0;3,44232E-08;3,26593E-09;0;2,4055E-09;5,11147E-08;0;1,87034E-07;1,72761E-08;6,129E-10;0;0;0;0;0;0;9,51533E-08;1,83083E-09;1,08491E-10;0;0
AR_D35;0;0;0;0;2,15416E-09;0;0;0;0;8,62641E-08;0;0;0;0;0;0;6,90174E-09;0;0;0;0
AR_E36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AR_E37T39;3,38014E-08;4,01377E-07;3,2235E-08;0;5,58609E-08;1,73337E-08;0;5,23376E-06;9,54452E-08;8,15976E-08;0;0;0;0;0;0;5,1669E-06;1,22653E-08;0;0;5,74771E-08
AR_F;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AR_G45;0;0;0;7,82143E-07;1,68837E-05;2,08307E-05;0;8,09431E-07;7,02193E-08;2,05306E-05;0;0;0;0;0;9,1748E-07;2,01745E-06;0;3,16039E-08;1,59096E-07;0
AR_G46;0;0;0;0;0;3,40149E-09;0;0;0;0;0;0;0;0;0;5,98785E-10;0;0;0;0;0
AR_G47;0;0;0;0;0;7,22425E-09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,53826E-09
AR_H49;1,60451E-05;1,26181E-06;4,85257E-07;0;2,24072E-06;5,77403E-07;3,56175E-06;4,87464E-07;1,34233E-06;2,5692E-05;5,39392E-07;1,79053E-06;5,40063E-06;0;0;0;2,76498E-05;6,96277E-07;3,59087E-06;3,70772E-05;1,9265E-05
AR_H50;7,41382E-08;6,5927E-09;1,55024E-09;0;8,7053E-09;8,34426E-07;1,02362E-07;2,07173E-06;5,35123E-08;0;4,96457E-08;4,24639E-08;4,28672E-07;1,58396E-08;1,20919E-07;9,77208E-07;0;4,08043E-08;0;4,31478E-06;1,0908E-07
AR_H51;2,24422E-05;2,78096E-06;8,59065E-05;0,000406408;4,43172E-05;3,56579E-06;2,14894E-06;3,10713E-05;3,05311E-05;0,000164393;3,44129E-06;6,52243E-07;2,79397E-05;0;0;0;4,29946E-05;7,06616E-06;5,70496E-06;2,75014E-05;1,25565E-05
AR_H52;7,13419E-08;1,45275E-09;7,89236E-08;0;1,65705E-07;3,70531E-08;0;1,47456E-09;8,71691E-07;1,61415E-05;0;0;1,86111E-08;0;0;0;2,78728E-08;4,11365E-10;5,52386E-11;8,23977E-08;1,26468E-08
AR_H53;0;0;0;0;3,7823E-08;0;0;2,23147E-09;0;0;0;0;0;0;0;0;0;0;0;0;0
AR_I;1,32413E-08;9,33589E-09;8,07999E-07;1,28105E-07;2,75728E-08;7,75228E-08;0;1,36755E-07;5,93687E-08;4,635E-07;0;0;1,09028E-08;1,2883E-06;0;0;7,15264E-08;1,25365E-07;2,6082E-07;0;1,45701E-08
AR_J58;3,85125E-08;0;0;0;9,81241E-08;7,6662E-08;0;1,1983E-07;1,96857E-08;1,76915E-08;0;2,42669E-08;0;0;0;1,60727E-08;3,78639E-08;2,96522E-09;0;0;0
AR_J59_60;0;0;0;0;1,04124E-08;0;0;9,97189E-10;7,30603E-10;0;0;0;0;0;0;0;1,22032E-09;0;0;0;0
AR_J61;2,95552E-08;0;0;0;8,85327E-07;0;0;0;1,89548E-07;0;0;0;0;0;0;0;0;0;2,59219E-09;0;0
AR_J62_63;4,2388E-08;0;0;0;1,65607E-08;3,06995E-08;0;0;3,67523E-07;0;0;0;0;0;0;0;0;0;9,61723E-08;0;0
AR_K64;5,0867E-09;1,77636E-08;0;0;6,34691E-08;3,7308E-09;0;2,91544E-08;0;0;0;0;0;3,76634E-08;0;0;7,66943E-08;0;0;0;0
AR_K65;0;2,09956E-07;0;0;0;2,03219E-07;3,01545E-07;0;1,22093E-06;4,7613E-06;2,90369E-07;8,69772E-08;1,00459E-06;0;0;0;6,32027E-07;9,34215E-06;0;3,16055E-06;2,01174E-06
AR_K66;0;0;0;0;3,27477E-09;6,1591E-08;0;0;0;0;0;0;0;0;0;0;0;2,70153E-08;0;0;0
AR_L;0;0;0;0;0;2,2665E-06;0;2,7637E-06;2,35026E-08;2,9186E-07;0;3,36271E-08;6,97475E-08;0;0;1,67078E-07;0;0;1,41748E-08;0;0
AR_M69_70;0;0;7,49042E-07;0;4,68843E-08;8,62094E-08;0;1,72309E-06;2,66349E-06;0;0;9,79462E-09;0;0;0;0;0;2,79865E-09;0;0;0
