rowLabels;AT_P3_S14;BE_P3_S14;BG_P3_S14;CY_P3_S14;DE_P3_S14;DK_P3_S14;EE_P3_S14;ES_P3_S14;FR_P3_S14;GR_P3_S14;HR_P3_S14;HU_P3_S14;LT_P3_S14;LU_P3_S14;LV_P3_S14;MT_P3_S14;NL_P3_S14;PL_P3_S14;RO_P3_S14;SI_P3_S14;SK_P3_S14
AR_A01;7,33437E-06;5,29086E-06;4,10115E-05;5,55725E-05;1,00169E-05;1,14345E-05;1,41205E-05;4,37694E-05;9,19735E-06;4,03577E-05;5,78203E-06;2,21339E-06;1,99435E-05;3,80425E-06;3,32816E-06;1,39362E-05;1,19772E-05;8,06727E-05;2,87465E-05;1,71609E-05;8,15667E-06
AR_A02;8,22783E-09;0;5,70915E-08;0;7,94584E-09;0;0;3,08082E-08;4,33212E-09;7,44377E-08;0;0;0;0;0;0;8,50966E-09;1,90052E-07;4,41564E-08;0;0
AR_A03;1,60055E-07;1,0436E-07;9,2708E-08;8,96243E-07;8,69599E-08;3,07953E-07;8,73533E-08;1,61982E-06;3,28319E-07;2,18323E-06;9,59462E-08;6,9609E-08;5,19716E-07;3,58222E-07;8,28272E-08;0;6,70695E-07;5,99829E-07;3,22041E-07;6,63568E-07;1,73221E-07
AR_B;0;0;4,83197E-06;0;2,82014E-05;0;0;0;0;0;0;0;0;0;0;0;4,03296E-05;0;8,02938E-07;0;0
AR_C10T12;7,21926E-05;6,00548E-05;0,000271356;0,002251468;0,000121822;0,000388856;0,000206869;0,001332778;0,000146149;0,001739799;0,000162304;6,40965E-05;0,001141762;6,27517E-05;0,000130273;0,000151878;0,000378027;0,001803813;0,000523682;0,000172078;0,000187711
AR_C13T15;5,65374E-05;5,10157E-07;1,91941E-08;7,5805E-08;5,22982E-06;2,91907E-07;7,0105E-08;1,33023E-06;5,91761E-07;3,83048E-08;0;6,47757E-09;1,19263E-06;2,70927E-07;5,41344E-08;0,000270442;2,26384E-07;3,00869E-06;3,09809E-06;0,000516116;6,29751E-05
AR_C16;4,5195E-09;7,39879E-09;0;0;2,25859E-09;0;0;1,48851E-08;5,13096E-09;1,6905E-09;0;0;0;0;0;0;1,68919E-08;1,55005E-08;0;0;0
AR_C17;3,96826E-07;3,6993E-09;0;0;2,27968E-08;4,98978E-08;0;1,91118E-08;2,8264E-08;4,7861E-09;0;0;0;1,02819E-07;0;9,92608E-07;3,46934E-08;2,88997E-08;4,68542E-08;2,28593E-06;2,1303E-07
AR_C18;0;5,6265E-09;0;0;1,23783E-08;3,3092E-11;0;1,43074E-09;0;3,32724E-09;0;7,79679E-09;0;0;0;1,79088E-08;5,11103E-09;7,70838E-09;1,18982E-08;0;9,30683E-08
AR_C19;2,22895E-08;2,29131E-07;0;0;5,67144E-07;3,6679E-08;0;1,91909E-06;7,34785E-07;2,62297E-06;0;0;0;7,44637E-07;0;0;3,4904E-06;2,77752E-08;5,24941E-06;0;4,98356E-08
